,ebird code,Scientific Name,Common Name
646,ratcis1,Cisticola chiniana,Rattling Cisticola
647,borcis1,Cisticola bodessa,Boran Cisticola
648,ashcis1,Cisticola cinereolus,Ashy Cisticola
649,tarcis1,Cisticola restrictus,Tana River Cisticola
650,waicis1,Cisticola lais,Wailing Cisticola
651,wincis3,Cisticola galactotes,Winding Cisticola
652,wincis4,Cisticola haematocephalus,Coastal Cisticola
653,carcis1,Cisticola carruthersi,Carruthers's Cisticola
654,tincis1,Cisticola tinniens,Levaillant's Cisticola
655,stocis1,Cisticola robustus,Stout Cisticola
656,abecis1,Cisticola aberdare,Aberdare Cisticola
657,crocis1,Cisticola natalensis,Croaking Cisticola
658,repcis1,Cisticola ruficeps,Red-pate Cisticola
659,tincis3,Cisticola nanus,Tiny Cisticola
660,sifcis1,Cisticola brachypterus,Siffling Cisticola
661,foxcis1,Cisticola troglodytes,Foxy Cisticola
662,tabcis1,Cisticola angusticauda,Long-tailed Cisticola
663,zitcis1,Cisticola juncidis,Zitting Cisticola
664,descis1,Cisticola aridulus,Desert Cisticola
665,blncis1,Cisticola eximius,Black-backed Cisticola
666,pepcis1,Cisticola brunnescens,Pectoral-patch Cisticola
667,wiscis1,Cisticola ayersii,Wing-snapping Cisticola
668,tafpri1,Prinia subflava,Tawny-flanked Prinia
669,palpri1,Prinia somalica,Pale Prinia
670,rivpri1,Prinia fluviatilis,River Prinia
671,banpri1,Prinia bairdii,Banded Prinia
672,whcpri2,Schistolais leucopogon,White-chinned Prinia
673,bubwar2,Phyllolais pulchella,Buff-bellied Warbler
674,batapa2,Apalis thoracica,Bar-throated Apalis
675,blcapa2,Apalis pulchra,Black-collared Apalis
676,yebapa1,Apalis flavida,Yellow-breasted Apalis
677,bltapa1,Apalis jacksoni,Black-throated Apalis
678,whwapa1,Apalis chariessa,White-winged Apalis
679,blhapa1,Apalis melanocephala,Black-headed Apalis
680,chtapa3,Apalis porphyrolaema,Chestnut-throated Apalis
681,butapa1,Apalis rufogularis,Buff-throated Apalis
682,karapa1,Apalis karamojae,Karamoja Apalis
683,gryapa1,Apalis cinerea,Grey Apalis
684,brhapa1,Apalis alticola,Brown-headed Apalis
685,gycwar3,Eminia lepida,Grey-capped Warbler
686,grbcam1,Camaroptera brachyura,Grey-backed Camaroptera
687,olgcam1,Camaroptera chloronota,Olive-green Camaroptera
688,grywrw1,Calamonastes simplex,Grey Wren Warbler
689,miowrw2,Calamonastes undosus,Pale Wren Warbler
690,combul2,Pycnonotus barbatus,Common Bulbul
691,shegre1,Andropadus masukuensis,Shelley's Greenbul
692,stcgre1,Andropadus milanjensis,Stripe-cheeked Greenbul
693,litgre2,Andropadus virens,Little Greenbul
694,ansgre1,Andropadus ansorgei,Ansorge's Greenbul
695,plagre2,Andropadus curvirostris,Plain Greenbul
696,yewgre1,Andropadus latirostris,Yellow-whiskered Greenbul
697,slbgre1,Andropadus gracilirostris,Slender-billed Greenbul
698,somgre1,Andropadus importunus,Zanzibar Greenbul
699,hongre1,Baeopogon indicator,Honeyguide Greenbul
700,joygre1,Chlorocichla laetissima,Joyful Greenbul
701,yebgre1,Chlorocichla flaviventris,Yellow-bellied Greenbul
702,terbro1,Phyllastrephus terrestris,Terrestrial Brownbul
703,norbro1,Phyllastrephus strepitans,Northern Brownbul
704,gyogre1,Phyllastrephus cerviniventris,Grey-olive Greenbul
705,toogre1,Phyllastrephus hypochloris,Toro Olive Greenbul
706,fisgre1,Phyllastrephus fischeri,Fischer's Greenbul
707,cabgre1,Phyllastrephus cabanisi,Cabanis's Greenbul
708,yesbul1,Phyllastrephus flavostriatus,Yellow-streaked Greenbul
709,tingre1,Phyllastrephus debilis,Tiny Greenbul
710,combri2,Bleda syndactyla,Red-tailed Bristlebill
711,easnic1,Nicator gularis,Eastern Nicator
712,fatgra1,Schoenicola brevirostris,Fan-tailed Grassbird
713,afbwar1,Bradypterus baboecala,Little Rush Warbler
714,wwswar1,Bradypterus carpalis,White-winged Swamp Warbler
715,camscw1,Bradypterus lopezi,Evergreen Forest Warbler
716,cibwar1,Bradypterus cinnamomeus,Cinnamon Bracken Warbler
717,bkfruw1,Bathmocercus rufus,Black-faced Rufous Warbler
718,mogwar1,Melocichla mentalis,Moustached Grass Warbler
719,cogwar1,Locustella naevia,Common Grasshopper Warbler
720,eurwar2,Locustella fluviatilis,River Warbler
721,savwar1,Locustella luscinioides,Savi's Warbler
722,barwar2,Acrocephalus griseldis,Basra Reed Warbler
723,grswar2,Acrocephalus rufescens,Greater Swamp Warbler
724,leswar1,Acrocephalus gracilirostris,Lesser Swamp Warbler
725,grrwar1,Acrocephalus arundinaceus,Great Reed Warbler
726,sedwar1,Acrocephalus schoenobaenus,Sedge Warbler
727,eurwar1,Acrocephalus scirpaceus,Eurasian Reed Warbler
728,marwar3,Acrocephalus palustris,Marsh Warbler
729,eaowar1,Hippolais pallida,Eastern Olivaceous Warbler
730,upcwar1,Hippolais languida,Upcher's Warbler
731,oltwar1,Hippolais olivetorum,Olive-tree Warbler
732,ictwar1,Hippolais icterina,Icterine Warbler
733,krelon1,Macrosphenus kretschmeri,Kretschmer's Longbill
734,yebhyl1,Hyliota flavigaster,Yellow-bellied Hyliota
735,souhyl1,Hyliota australis,Southern Hyliota
736,grehyl1,Hylia prasina,Green Hylia
737,yetwow1,Phylloscopus ruficapilla,Yellow-throated Woodland Warbler
738,ugawow1,Phylloscopus budongoensis,Uganda Woodland Warbler
739,brwwar1,Phylloscopus umbrovirens,Brown Woodland Warbler
740,wlwwar,Phylloscopus trochilus,Willow Warbler
741,comchi1,Phylloscopus collybita,Common Chiffchaff
742,woowar,Phylloscopus sibilatrix,Wood Warbler
743,yebere1,Eremomela icteropygialis,Yellow-bellied Eremomela
744,yevere1,Eremomela flavicrissalis,Yellow-vented Eremomela
745,grbere1,Eremomela canescens,Green-backed Eremomela
746,greere1,Eremomela scotops,Green-capped Eremomela
747,turere1,Eremomela turneri,Turner's Eremomela
748,norcro1,Sylvietta brachyura,Northern Crombec
749,refcro1,Sylvietta whytii,Red-faced Crombec
750,somcro1,Sylvietta isabellina,Somali Crombec
751,grecro1,Sylvietta virens,Green Crombec
752,whbcro2,Sylvietta leucophrys,White-browed Crombec
753,blackc1,Sylvia atricapilla,Blackcap
754,garwar1,Sylvia borin,Garden Warbler
755,barwar1,Sylvia nisoria,Barred Warbler
756,brnwar1,Parisoma lugens,Brown Parisoma
757,banwar2,Parisoma boehmi,Banded Parisoma
758,scbill1,Illadopsis albipectus,Scaly-breasted Illadopsis
759,pabill1,Illadopsis rufipennis,Pale-breasted Illadopsis
760,broill1,Illadopsis fulvescens,Brown Illadopsis
761,mouill1,Illadopsis pyrrhoptera,Mountain Illadopsis
762,gycill1,Kakamega poliothorax,Grey-chested Babbler
763,afhbab1,Pseudoalcippe abyssinica,African Hill Babbler
764,scacha1,Turdoides aylmeri,Scaly Chatterer
765,rufcha2,Turdoides rubiginosa,Rufous Chatterer
766,bklbab1,Turdoides sharpei,Black-lored Babbler
767,brobab1,Turdoides plebejus,Brown Babbler
768,armbab1,Turdoides jardineii,Arrow-marked Babbler
769,scabab2,Turdoides squamulata,Scaly Babbler
770,hipbab1,Turdoides hindei,Hinde's Babbler
771,norpib1,Turdoides hypoleuca,Northern Pied Babbler
772,wbweye1,Zosterops abyssinicus,Abyssinian White-eye
773,afywhe2,Zosterops senegalensis,African Yellow White-eye
774,heuwhe2,Zosterops poliogastrus,Montane White-eye
775,rossta2,Pastor roseus,Rose-coloured Starling
776,watsta1,Creatophora cinerea,Wattled Starling
777,gbesta1,Lamprotornis chalybaeus,Greater Blue-eared Starling
778,lbesta1,Lamprotornis chloropterus,Lesser Blue-eared Starling
779,btgsta1,Lamprotornis chalcurus,Bronze-tailed Starling
780,spgsta1,Lamprotornis splendidus,Splendid Starling
781,pugsta1,Lamprotornis purpureus,Purple Starling
782,ruegls1,Lamprotornis purpuroptera,Rüppell's Starling
783,gobsta5,Lamprotornis regius,Golden-breasted Starling
784,bbgsta1,Lamprotornis corruscus,Black-bellied Starling
785,supsta1,Lamprotornis superbus,Superb Starling
786,hilsta1,Lamprotornis hildebrandti,Hildebrandt's Starling
787,shesta1,Lamprotornis shelleyi,Shelley's Starling
788,fissta1,Lamprotornis fischeri,Fischer's Starling
789,abbsta2,Cynniricinclus femoralis,Abbott's Starling
790,vibsta2,Cynniricinclus leucogaster,Violet-backed Starling
791,whcsta3,Spreo albicapillus,White-crowned Starling
792,magsta1,Speculipastor bicolor,Magpie Starling
793,rewsta1,Onychognathus morio,Red-winged Starling
794,slbsta1,Onychognathus tenuirostris,Slender-billed Starling
795,walsta1,Onychognathus walleri,Waller's Starling
796,brcsta1,Onychognathus salvadorii,Bristle-crowned Starling
797,stusta1,Poeoptera stuhlmanni,Stuhlmann's Starling
798,kensta1,Poeoptera kenricki,Kenrick's Starling
799,shasta2,Pholia sharpii,Sharpe's Starling
800,reboxp1,Buphagus erythrorhynchus,Red-billed Oxpecker
801,yeboxp1,Buphagus africanus,Yellow-billed Oxpecker
802,rtathr1,Neocossyphus rufus,Red-tailed Ant Thrush
803,wtathr1,Neocossyphus poensis,White-tailed Ant Thrush
804,afrthr1,Turdus pelios,African Thrush
805,abethr1,Turdus tephronotus,African Bare-eyed Thrush
806,olithr2,Turdus olivaceus,Olive Thrush
807,taithr1,Turdus helleri,Taita Thrush
808,brcale1,Alethe poliocephala,Brown-chested Alethe
809,whsrob1,Pogonocichla stellata,White-starred Robin
810,equaka1,Sheppardia aequatorialis,Equatorial Akalat
811,eacaka1,Sheppardia gunningi,East Coast Akalat
812,gywroc1,Sheppardia polioptera,Grey-winged Robin
813,thrnig1,Luscinia luscinia,Thrush Nightingale
814,comnig1,Luscinia megarhynchos,Common Nightingale
815,whtrob3,Irania gutturalis,Irania
816,carcha1,Cossypha caffra,Cape Robin Chat
817,bsrcha1,Cossypha cyanocampter,Blue-shouldered Robin Chat
818,rurcha1,Cossypha semirufa,Rüppell's Robin Chat
819,wbrcha2,Cossypha heuglini,White-browed Robin Chat
820,rcrcha1,Cossypha natalensis,Red-capped Robin Chat
821,scrcha1,Cossypha niveicapilla,Snowy-headed Robin Chat
822,copthr1,Cichladusa arquata,Collared Palm Thrush
823,spmthr1,Cichladusa guttata,Spotted Palm Thrush
824,besrob1,Cercotrichas quadrivirgata,Bearded Scrub Robin
825,bbsrob1,Cercotrichas hartlaubi,Brown-backed Scrub Robin
826,rbsrob1,Cercotrichas leucophrys,White-browed Scrub Robin
827,rutscr1,Cercotrichas galactotes,Rufous Bush Chat
828,comred2,Phoenicurus pheonicurus,Common Redstart
829,whinch1,Saxicola rubetra,Whinchat
830,afrsto1,Saxicola torquatus,Common Stonechat
831,capwhe1,Oenanthe pileata,Capped Wheatear
832,heuwhe1,Oenanthe heuglini,Heuglin's Wheatear
833,isawhe1,Oenanthe isabellina,Isabelline Wheatear
834,norwhe,Oenanthe oenanthe,Northern Wheatear
835,piewhe1,Oenanthe pleschanka,Pied Wheatear
836,bkewhe1,Oenanthe hispanica,Black-eared Wheatear
837,deswhe1,Oenanthe deserti,Desert Wheatear
838,mouwhe4,Oenanthe lugubris,Abyssinian Wheatear
839,famcha1,Cercomela familiaris,Familiar Chat
840,moocha1,Cercomela sordida,Moorland Chat
841,noacha1,Myrmecocichla aethiops,Northern Anteater Chat
842,soocha1,Myrmecocichla nigra,Sooty Chat
843,moccha1,Thamnolaea cinnamomeiventris,Mocking Cliff Chat
844,rtrthr1,Monticola saxatilis,Common Rock Thrush
845,lirthr1,Monticola rufocinereus,Little Rock Thrush
846,wheslf1,Melaenornis fischeri,White-eyed Slaty Flycatcher
847,nobfly1,Melaenornis edolioides,Northern Black Flycatcher
848,sobfly1,Melaenornis pammelaina,Southern Black Flycatcher
849,palfly2,Bradornis pallidus,Pale Flycatcher
850,afgfly1,Bradornis microrhynchus,African Grey Flycatcher
851,silver1,Empidornis semipartitus,Silverbird
852,spofly1,Muscicapa striata,Spotted Flycatcher
853,gamfly1,Muscicapa gambagae,Gambaga Flycatcher
854,ashfly1,Muscicapa caerulescens,Ashy Flycatcher
855,swafly3,Muscicapa aquatica,Swamp Flycatcher
856,chafly1,Muscicapa lendu,Chapin's Flycatcher
857,afdfly1,Muscicapa adusta,African Dusky Flycatcher
858,eupfly1,Ficedula hypoleuca,Pied Flycatcher
859,colfly1,Ficedula albicollis,Collared Flycatcher
860,semfly1,Ficedula semitorquata,Semi-collared Flycatcher
861,plbsun1,Anthreptes reichenowi,Plain-backed Sunbird
862,wvbsun1,Anthreptes longuemarei,Western Violet-backed Sunbird
863,kvbsun1,Anthreptes orientalis,Eastern Violet-backed Sunbird
864,uvbsun1,Anthreptes neglectus,Uluguru Violet-backed Sunbird
865,gresun1,Anthreptes rectirostris,Grey-chinned Sunbird
866,colsun2,Hedydipna collaris,Collared Sunbird
867,pygsun2,Hedydipna platyura,Pygmy Sunbird
868,amasun2,Hedydipna pallidigaster,Amani Sunbird
869,gnhsun1,Cyanomitra verticalis,Green-headed Sunbird
870,eaosun1,Cyanomitra olivacea,Olive Sunbird
871,mocsun2,Cyanomitra veroxii,Mouse-collared Sunbird
872,gntsun1,Chalcomitra rubescens,Green-throated Sunbird
873,amesun2,Chalcomitra amethystina,Amethyst Sunbird
874,sccsun2,Chalcomitra senegalensis,Scarlet-chested Sunbird
875,hunsun2,Chalcomitra hunteri,Hunter's Sunbird
876,tacsun1,Nectarinia tacazze,Tacazze Sunbird
877,brosun1,Nectarinia kilimensis,Bronze Sunbird
878,malsun1,Nectarinia famosa,Malachite Sunbird
879,retsun2,Nectarinia johnstoni,Scarlet-tufted Sunbird
880,gowsun2,Drepanorhynchus reichenowi,Golden-winged Sunbird
881,olbsun3,Cinnyris chloropygius,Olive-bellied Sunbird
882,ndcsun2,Cinnyris reichenowi,Northern Double-collared Sunbird
883,edcsun3,Cinnyris mediocris,Eastern Double-collared Sunbird
884,edcsun4,Cinnyris usambaricus,Usambara Double-collared Sunbird
885,beasun2,Cinnyris pulchellus,Beautiful Sunbird
886,marsun2,Cinnyris mariquensis,Marico Sunbird
887,recsun2,Cinnyris erythrocercus,Red-chested Sunbird
888,bkbsun1,Cinnyris nectarinioides,Black-bellied Sunbird
889,pubsun4,Cinnyris bifasciatus,Purple-banded Sunbird
890,tsasun1,Cinnyris tsavoensis,Tsavo Sunbird
891,vibsun2,Cinnyris chalcomelas,Violet-breasted Sunbird
892,ortsun3,Cinnyris bouvieri,Orange-tufted Sunbird
893,shisun3,Cinnyris habessinicus,Shining Sunbird
894,varsun2,Cinnyris venustus,Variable Sunbird
895,supsun2,Cinnyris superbus,Superb Sunbird
896,copsun2,Cinnyris cupreus,Copper Sunbird
897,wbswea1,Plocepasser mahali,White-browed Sparrow Weaver
898,ccswea1,Plocepasser superciliosus,Chestnut-crowned Sparrow Weaver
899,dsswea1,Plocepasser donaldsoni,Donaldson Smith's Sparrow Weaver
900,rutwea1,Histurgops ruficauda,Rufous-tailed Weaver
901,gyhsow1,Pseudonigrita arnaudi,Grey-capped Social Weaver
902,bcswea1,Pseudonigrita cabanisi,Black-capped Social Weaver
903,houspa,Passer domesticus,House Sparrow
904,somspa1,Passer castanopterus,Somali Sparrow
905,kerspa2,Passer rufocinctus,Kenya Rufous Sparrow
906,gyhspa1,Passer griseus,Grey-headed Sparrow
907,chespa1,Passer eminibey,Chestnut Sparrow
908,wbbwea1,Bubalornis albirostris,White-billed Buffalo Weaver
909,rbbwea1,Bubalornis niger,Red-billed Buffalo Weaver
910,whbwea1,Dinemellia dinemelli,White-headed Buffalo Weaver
911,spfwea1,Sporopipes frontalis,Speckle-fronted Weaver
912,growea1,Amblyospiza albifrons,Grosbeak Weaver
913,bagwea1,Ploceus baglafecht,Baglafecht Weaver
914,slbwea1,Ploceus pelzelni,Slender-billed Weaver
915,litwea1,Ploceus luteolus,Little Weaver
916,spewea1,Ploceus ocularis,Spectacled Weaver
917,bknwea2,Ploceus nigricollis,Black-necked Weaver
918,blbwea1,Ploceus melanogaster,Black-billed Weaver
919,afgwea1,Ploceus subaureus,Eastern Golden Weaver
920,hogwea1,Ploceus xanthops,Holub's Golden Weaver
921,orawea1,Ploceus aurantius,Orange Weaver
922,hemwea1,Ploceus heuglini,Heuglin's Masked Weaver
923,gopwea1,Ploceus bojeri,Golden Palm Weaver
924,tagwea1,Ploceus castaneiceps,Taveta Golden Weaver
925,nbtwea1,Ploceus castanops,Northern Brown-throated Weaver
926,nomwea1,Ploceus taeniopterus,Northern Masked Weaver
927,lesmaw1,Ploceus intermedius,Lesser Masked Weaver
928,vimwea1,Ploceus vitellinus,Vitelline Masked Weaver
929,spewea2,Ploceus spekei,Speke's Weaver
930,vilwea1,Ploceus cucullatus,Village Weaver
931,viewea3,Ploceus nigerrimus,Vieillot's Black Weaver
932,clawea1,Ploceus golandi,Clarke's Weaver
933,salwea1,Ploceus dichrocephalus,Juba Weaver
934,blhwea1,Ploceus melanocephalus,Yellow-backed Weaver
935,gobwea1,Ploceus jacksoni,Golden-backed Weaver
936,chewea1,Ploceus rubiginosus,Chestnut Weaver
937,yemwea1,Ploceus tricolor,Yellow-mantled Weaver
938,comwea1,Ploceus superciliosus,Compact Weaver
939,forwea1,Ploceus bicolor,Dark-backed Weaver
940,brcwea1,Ploceus insignis,Brown-capped Weaver
941,rehmal1,Malimbus rubricollis,Red-headed Malimbe
942,rehwea1,Anaplectes melanotis,Red-headed Weaver
943,carque1,Quelea cardinalis,Cardinal Quelea
944,rehque1,Quelea erythrops,Red-headed Quelea
945,rebque1,Quelea quelea,Red-billed Quelea
946,yecbis,Euplectes afer,Yellow-crowned Bishop
947,fifbis1,Euplectes diadematus,Fire-fronted Bishop
948,blabis1,Euplectes gierowii,Black Bishop
949,zanbis1,Euplectes nigroventris,Zanzibar Red Bishop
950,blwbis1,Euplectes hordeaceus,Black-winged Red Bishoop
951,redbis,Euplectes orix,Southern Red Bishop
952,orabis1,Euplectes franciscanus,Northern Red Bishop
953,yelbis1,Euplectes capensis,Yellow Bishop
954,fatwid1,Euplectes axillaris,Fan-tailed Widowbird
955,yeswid2,Euplectes macroura,Yellow-mantled Widowbird
956,marwid1,Euplectes hartlaubi,Marsh Widowbird
957,whwwid1,Euplectes albonotatus,White-winged Widowbird
958,recwid3,Euplectes ardens,Red-collared Widowbird
959,lotwid1,Euplectes progne,Long-tailed Widowbird
960,jacwid1,Euplectes jacksoni,Jackson's Widowbird
961,whbneg2,Nigrita fusconotus,White-breasted Negrofinch
962,gyhneg1,Nigrita canicapillus,Grey-headed Negrofinch
963,yebwax2,Coccopygia quartinia,Yellow-bellied Waxbill
964,grbtwi1,Mandingoa nitidula,Green-backed Twinspot
965,abcwin1,Cryptospiza salvadorii,Abyssinian Crimsonwing
966,fabwax1,Estrilda paludicola,Fawn-breasted Waxbill
967,crrwax1,Estrilda rhodopyga,Crimson-rumped Waxbill
968,bkrwax,Estrilda troglodytes,Black-rumped Waxbill
969,comwax,Estrilda astrild,Common Waxbill
970,blcwax2,Estrilda nonnula,Black-crowned Waxbill
971,kanwax1,Estrilda kandti,Kandt's Waxbill
972,blcwax1,Estrilda erythronotus,Black-faced Waxbill
973,rerwax1,Estrilda charmosyna,Black-cheeked Waxbill
974,rehblu1,Spermophaga ruficapilla,Red-headed Bluebill
975,blbsee1,Pyrenestes ostrinus,Black-bellied Seed-cracker
976,reccor,Uraeginthus bengalus,Red-cheeked Cordon-bleu
977,blccor1,Uraeginthus cyanocephalus,Blue-capped Cordon-bleu
978,purgre2,Granatina ianthinogaster,Purple Grenadier
979,pettwi1,Hypargos niveoguttatus,Peters's Twinspot
980,brotwi1,Clytospiza monteiri,Brown Twinspot
981,orwpyt1,Pytilia afra,Orange-winged Pytilia
982,grwpyt1,Pytilia melba,Green-winged Pytilia
983,blbfir1,Lagonosticta rara,Black-bellied Firefinch
984,babfir1,Lagonosticta rufopicta,Bar-breasted Firefinch
985,rebfir2,Lagonosticta senegala,Red-billed Firefinch
986,afffin,Lagonosticta rubricata,African Firefinch
987,jamfir1,Lagonosticta rhodopareia,Jameson's Firefinch
988,cutthr1,Amadina fasciata,Cut-throat Finch
989,zebwax2,Amandava subflava,Orange-breasted Waxbill
990,locust3,Paludipasser locustella,Locust Finch
991,broman1,Spermestes cucculatus,Bronze Mannikin
992,bawman1,Spermestes bicolor,Black-and-white Mannikin
993,magman1,Spermestes fringilloides,Magpie Mannikin
994,afrsil1,Euodice cantans,African Silverbill
995,parwea1,Anomalospiza imberbis,Parasitic Weaver
996,pitwhy,Vidua macroura,Pin-tailed Whydah
997,btpwhy1,Vidua obtusa,Broad-tailed Paradise Whydah
998,eapwhy1,Vidua paradisaea,Eastern Paradise Whydah
999,stbwhy1,Vidua hypocherina,Steel-blue Whydah
1000,sttwhy1,Vidua fischeri,Straw-tailed Whydah
1001,vilind,Vidua chalybeata,Village Indigobird
1002,varind1,Vidua funerea,Dusky Indigobird
1003,purind1,Vidua purpurascens,Purple Indigobird
1004,eaywag1,Motacilla flava,Yellow Wagtail
1005,capwag1,Motacilla capensis,Cape Wagtail
1006,grywag,Motacilla cinerea,Grey Wagtail
1007,mouwag1,Motacilla clara,Mountain Wagtail
1008,whiwag,Motacilla alba,White Wagtail
1009,afpwag1,Motacilla aguimp,African Pied Wagtail
1010,golpip1,Tmetothylacus tenellus,Golden Pipit
1011,shalon1,Macronyx sharpei,Sharpe's Longclaw
1012,yetlon1,Macronyx croceus,Yellow-throated Longclaw
1013,panlon1,Macronyx aurantiigula,Pangani Longclaw
1014,rotlon1,Macronyx ameliae,Rosy-breasted Lonclaw
1015,afrpip1,Anthus cinnamomeus,Grassland Pipit
1016,tawpip1,Anthus campestris,Tawny Pipit
1017,lobpip1,Anthus similis,Long-billed Pipit
1018,plbpip1,Anthus leucophrys,Plain-backed Pipit
1019,bufpip1,Anthus vaalensis,Buffy Pipit
1020,trepip,Anthus trivialis,Tree Pipit
1021,retpip,Anthus cervinus,Red-throated Pipit
1022,strpip1,Anthus lineiventris,Striped Pipit
1023,buspip1,Anthus caffer,Bush Pipit
1024,sokpip1,Anthus sokokensis,Sokoke Pipit
1025,malpip1,Anthus melindae,Malindi Pipit
1026,yeccan1,Serinus flavivertex,Yellow-crowned Canary
1027,afrcit1,Crithagra citrinelloides,African Citril
1028,soucit1,Crithagra hyposticta,Southern Citril
1029,papcan1,Crithagra koliensis,Papyrus Canary
1030,reisee2,Crithagra reichenowi,Reichenow's Seedeater
1031,bltcan1,Crithagra atrogularis,Black-throated Seedeater
1032,yefcan,Crithagra mozambica,Yellow-fronted Canary
1033,norgrc1,Crithagra donaldsoni,Northern Grosbeak Canary
1034,sougrc1,Crithagra buchanani,Southern Grosbeak Canary
1035,whbcan1,Crithagra dorsostriata,White-bellied Canary
1036,brican1,Crithagra sulphurata,Brimstone Canary
1037,reisee1,Crithagra reichardi,Stripe-breasted Seedeater
1038,sthsee2,Crithagra gularis,Streaky-headed Seedeater
1039,strsee1,Crithagra striolata,Streaky Seedeater
1040,thbsee1,Crithagra burtoni,Thick-billed Seedeater
1041,orifin1,Linurgus olivaceus,Oriole Finch
1042,ortbun1,Emberiza hortulana,Ortolan Bunting
1043,houbun3,Emberiza striolata,House Bunting
1044,cibbun1,Emberiza tahapisi,Cinnamon-breasted Bunting
1045,sombun1,Emberiza poliopleura,Somali Bunting
1046,gobbun1,Emberiza flaviventris,Golden-breasted Bunting
1047,brrbun1,Emberiza affinis,Brown-rumped Bunting
