,ebird code,Scientific Name,Common Name
364,klacuc1,Chrysococcyx klaas,Klaas's Cuckoo
365,afecuc1,Chrysococcyx cupreus,African Emerald Cuckoo
366,didcuc1,Chrysococcyx caprius,Diederik Cuckoo
367,yellow5,Ceuthmochares aereus,Yellowbill
368,blacou1,Centropus grillii,Black Coucal
369,blhcou2,Centropus monachus,Blue-headed Coucal
370,sencou1,Centropus senegalensis,Senegal Coucal
371,whbcou1,Centropus superciliosus,White-browed Coucal
372,afgowl1,Tyto capensis,Grass Owl
373,brnowl,Tyto alba,Barn Owl
374,sosowl1,Otus ireneae,Sokoke Scops Owl
375,afsowl1,Otus senegalensis,African Scops Owl
376,eursco1,Otus scops,Eurasian Scops Owl
377,nwfowl1,Ptilopsis leucotis,Northern White-faced Scops Owl
378,swfowl1,Ptilopsis granti,Southern White-faced Scops Owl
379,caeowl1,Bubo capensis,Cape Eagle Owl
380,spoeao2,Bubo africanus,Spotted Eagle Owl
381,graeao1,Bubo cinerascens,Greyish Eagle Owl
382,pefowl1,Scotopelia peli,Pel's Fishing Owl
383,afwowl1,Strix woodfordii,African Wood Owl
384,pesowl1,Glaucidium perlatum,Pearl-spotted Owlet
385,recowl1,Glaucidium tephronotum,Red-chested Owlet
386,afbowl1,Glaucidium capense,African Barred Owlet
387,aleowl1,Asio abyssinicus,Abyssinian Owl
388,sheowl,Asio flammeus,Short-eared Owl
389,marowl2,Asio capensis,Marsh Owl
390,eurnig1,Caprimulgus europaeus,Eurasian Nightjar
391,dusnig1,Caprimulgus fraenatus,Dusky Nightjar
392,nubnig1,Caprimulgus nubicus,Nubian Nightjar
393,dosnig1,Caprimulgus donaldsoni,Donaldson Smith's Nightjar
394,finnig1,Caprimulgus pectoralis,Fiery-necked Nightjar
395,monnig1,Caprimulgus poliocephalus,Montane Nightjar
396,swanig1,Caprimulgus natalensis,Swamp Nightjar
397,planig1,Caprimulgus inornatus,Plain Nightjar
398,stsnig1,Caprimulgus stellatus,Star-spotted Nightjar
399,frenig1,Caprimulgus tristigma,Freckled Nightjar
400,lotnig1,Caprimulgus climacurus,Long-tailed Nightjar
401,sltnig1,Caprimulgus clarus,Slender-tailed Nightjar
402,sqtnig1,Caprimulgus fossii,Gabon Nightjar
403,stwnig1,Macrodipteryx longipennis,Standard-winged Nightjar
404,pewnig1,Macrodipteryx vexillarius,Pennant-winged Nightjar
405,scaswi1,Schoutedenapus myoptilus,Scarce Swift
406,balspi1,Neafrapus boehmi,Böhm's Spinetail
407,motspi1,Telecanthura ussheri,Mottled Spinetail
408,sabspi1,Rhaphidura sabini,Sabine's Spinetail
409,afpswi1,Cypsiurus parvus,African Palm Swift
410,alpswi1,Tachymarptis melba,Alpine Swift
411,motswi2,Tachymarptis aequatorialis,Mottled Swift
412,comswi,Apus apus,Common Swift
413,nyaswi1,Apus niansae,Nyanza Swift
414,afrswi1,Apus barbatus,African Black Swift
415,fowswi1,Apus berliozi,Forbes-Watson's Swift
416,litswi1,Apus affinis,Little Swift
417,horswi1,Apus horus,Horus Swift
418,whrswi1,Apus caffer,White-rumped Swift
419,spemou2,Colius striatus,Speckled Mousebird
420,whhmou1,Colius leucocephalus,White-headed Mousebird
421,blnmou1,Urocolius macrourus,Blue-naped Mousebird
422,nartro1,Apaloderma narina,Narina Trogon
423,battro1,Apaloderma vittatum,Bar-tailed Trogon
424,rucrol2,Coracias naevius,Rufous-crowned Roller
425,librol2,Coracias caudatus,Lilac-breasted Roller
426,abyrol2,Coracias abyssinicus,Abyssinian Roller
427,eurrol1,Coracias garrulus,Eurasian Roller
428,brbrol1,Eurystomus glaucurus,Broad-billed Roller
429,gyhkin1,Halcyon leucocephala,Grey-headed Kingfisher
430,brhkin1,Halcyon albiventris,Brown-hooded Kingfisher
431,strkin1,Halcyon chelicuti,Striped Kingfisher
432,blbkin4,Halcyon malimbica,Blue-breasted Kingfisher
433,wookin1,Halcyon senegalensis,Woodland Kingfisher
434,mankin2,Halcyon senegaloides,Mangrove Kingfisher
435,afpkin1,Ceyx pictus,African Pygmy Kingfisher
436,malkin1,Alcedo cristata,Malachite Kingfisher
437,shbkin1,Alcedo quadribrachys,Shining-blue Kingfisher
438,hackin1,Alcedo semitorquata,Semi-collared Kingfisher
439,giakin3,Megaceryle maxima,Giant Kingfisher
440,piekin1,Ceryle rudis,Pied Kingfisher
441,bhbeat2,Merops muelleri,Blue-headed Bee-eater
442,stbeat1,Merops hirundineus,Swallow-tailed Bee-eater
443,libeat1,Merops pusillus,Little Bee-eater
444,bbbeat2,Merops variegatus,Blue-breasted Bee-eater
445,ccbeat1,Merops oreobates,Cinnamon-chested Bee-eater
446,wfbeat1,Merops bullockoides,White-fronted Bee-eater
447,sobeat1,Merops revoilii,Somali Bee-eater
448,wtbeat1,Merops albicollis,White-throated Bee-eater
449,bcbeat1,Merops persicus,Blue-cheeked Bee-eater
450,mabeat1,Merops superciliosus,Madagascar Bee-eater
451,eubeat1,Merops apiaster,Eurasian Bee-eater
452,ncbeat1,Merops nubicus,Northern Carmine Bee-eater
453,scbeat1,Merops nubicoides,Southern Carmine Bee-eater
454,hoopoe,Upupa epops,Hoopoe
455,blbwoo2,Phoeniculus somaliensis,Black-billed Wood-hoopoe
456,viowoo1,Phoeniculus damarensis,Violet Wood-hoopoe
457,cosbil1,Rhinopomastus cyanomelas,Common Scimitarbill
458,absbil1,Rhinopomastus minor,Abyssinian Scimitarbill
459,crohor1,Tockus alboterminatus,Crowned Hornbill
460,hemhor1,Tockus hemprichii,Hemprich's Hornbill
